交易所名称,合约名称,合约代码,现价,涨停板,跌停板,保证金-买开,保证金-卖开,保证金-每手,手续费标准-开仓-万分之,手续费标准-开仓-元,手续费标准-平昨-万分之,手续费标准-平昨-元,手续费标准-平今-万分之,手续费标准-平今-元,每跳毛利,手续费,每跳净利,备注,手续费更新时间,价格更新时间
上海期货交易所,沪锡2702,sn2702,375910.0,421010.0,330800.0,14.0,14.0,52627.4,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2603,cu2603,100340.0,110370.0,90300.0,20.0,20.0,100340.0,5e-05,0.5/万分之 (25.1元),5e-05,0.5/万分之 (25.1元),0.0001,1/万分之 (50.2元),50,75.3,-25.3,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2604,cu2604,99610.0,109570.0,89640.0,12.0,12.0,59766.0,5e-05,0.5/万分之 (24.9元),5e-05,0.5/万分之 (24.9元),0.0001,1/万分之 (49.8元),50,74.7,-24.7,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2605,cu2605,99720.0,109690.0,89740.0,12.0,12.0,59832.0,5e-05,0.5/万分之 (24.9元),5e-05,0.5/万分之 (24.9元),0.0001,1/万分之 (49.9元),50,74.8,-24.8,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2606,cu2606,99860.0,109840.0,89870.0,12.0,12.0,59916.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (49.9元),50,74.9,-24.9,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2607,cu2607,99860.0,109840.0,89870.0,12.0,12.0,59916.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (49.9元),50,74.9,-24.9,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2608,cu2608,99950.0,109940.0,89950.0,12.0,12.0,59970.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (50元),50,75.0,-25.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2609,cu2609,99970.0,109960.0,89970.0,12.0,12.0,59982.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (50元),50,75.0,-25.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2610,cu2610,100090.0,110090.0,90080.0,12.0,12.0,60054.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (50元),50,75.1,-25.1,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2611,cu2611,100150.0,110160.0,90130.0,12.0,12.0,60090.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (50.1元),50,75.1,-25.1,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2612,cu2612,99960.0,109950.0,89960.0,12.0,12.0,59976.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (50元),50,75.0,-25.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2701,cu2701,99830.0,109810.0,89840.0,12.0,12.0,59898.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (49.9元),50,74.9,-24.9,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铜2702,cu2702,100120.0,110130.0,90100.0,12.0,12.0,60072.0,5e-05,0.5/万分之 (25元),5e-05,0.5/万分之 (25元),0.0001,1/万分之 (50.1元),50,75.1,-25.1,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2603,ni2603,137040.0,153480.0,120590.0,20.0,20.0,27408.0,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2604,ni2604,135840.0,152140.0,119530.0,14.0,14.0,19017.6,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2605,ni2605,136400.0,152760.0,120030.0,14.0,14.0,19096.0,,3,,3,,3,10,6.0,4.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2606,ni2606,136680.0,153080.0,120270.0,14.0,14.0,19135.2,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2607,ni2607,136790.0,153200.0,120370.0,14.0,14.0,19150.6,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2608,ni2608,137100.0,153550.0,120640.0,14.0,14.0,19194.0,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2609,ni2609,137360.0,153840.0,120870.0,14.0,14.0,19230.4,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2610,ni2610,137580.0,154080.0,121070.0,14.0,14.0,19261.2,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2611,ni2611,137640.0,154150.0,121120.0,14.0,14.0,19269.6,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2612,ni2612,138160.0,154730.0,121580.0,14.0,14.0,19342.4,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2701,ni2701,138590.0,155220.0,121950.0,14.0,14.0,19402.6,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪镍2702,ni2702,138720.0,155360.0,122070.0,14.0,14.0,19420.8,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2603,al2603,25125.0,27635.0,22610.0,20.0,20.0,25125.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2604,al2604,24985.0,27480.0,22485.0,12.0,12.0,14991.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2605,al2605,25090.0,27595.0,22580.0,12.0,12.0,15054.0,,3,,3,,3,25,6.0,19.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2606,al2606,25140.0,27650.0,22625.0,12.0,12.0,15084.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2607,al2607,25190.0,27705.0,22670.0,12.0,12.0,15114.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2608,al2608,25210.0,27730.0,22685.0,12.0,12.0,15126.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪铝2609,al2609,25240.0,27760.0,22715.0,12.0,12.0,15144.0,,3,,3,,3,25,6.0,19.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
