Date,PortfolioId,Ticker,Pos,DTE,Width,ExpNetGainMaturity,AnnYield%,Cash,Action,NAV
20260309,11,MO2603,Long 5000-8400 (2.95),11,3400,27.75,13.89,0.0,HOLD,9916.17
20260310,11,MO2603,Long 8100-8400 (33.64),10,300,83.43,51.46,-0.0,SWITCH LONG,9788.37
20260311,11,MO2603,Long 8100-8400 (33.64),9,300,83.43,24.41,-0.0,HOLD,9943.1
20260312,11,MO2603,Long 8100-8400 (33.64),8,300,83.43,3.04,-0.0,HOLD,9943.1
20260313,11,MO2603,Long 8200-8300 (105.19),7,100,511.79,223.73,0.0,SWITCH LONG,9846.22
20260316,11,MO2603,Long 8200-8300 (105.19),4,100,511.79,91.71,0.0,HOLD,10266.99
20260306,12,MO2604,CASH,42,0,0.0,0.0,10000.0,HOLD,10000.0
20260309,12,MO2604,Long 8100-8200 (102.48),39,100,224.57,22.74,0.0,OPEN LONG,9284.31
20260310,12,MO2604,Long 8100-8200 (102.48),38,100,224.57,-150.81,0.0,HOLD,9796.69
20260311,12,MO2604,Long 8100-8200 (102.48),37,100,224.57,-132.71,0.0,HOLD,8894.9
20260312,12,MO2604,Long 8100-8200 (102.48),36,100,224.57,32.97,0.0,HOLD,8792.43
20260313,12,MO2604,Long 8100-8200 (102.48),35,100,224.57,-36.88,0.0,HOLD,9940.16
20260316,12,MO2604,Long 8100-8200 (102.48),32,100,224.57,-108.71,0.0,HOLD,9694.22
20260317,12,MO2604,Long 7700-8100 (27.17),31,400,843.9,18.39,0.0,SWITCH LONG,10290.97
20260318,12,MO2604,Long 7800-7900 (114.87),30,100,1463.71,77.87,0.0,SWITCH LONG,9556.96
20260319,12,MO2604,Long 7800-7900 (114.87),29,100,1463.71,33.16,0.0,HOLD,10544.81
20260320,12,MO2604,Long 7500-7600 (118.94),28,100,1870.53,53.21,0.0,SWITCH LONG,10228.45
20260317,13,MO2605,CASH,59,0,0.0,0.0,10006.03,HOLD,10006.03
20260318,13,MO2605,CASH,58,0,0.0,0.0,10006.58,HOLD,10006.58
20260319,13,MO2605,CASH,57,0,0.0,0.0,10007.13,HOLD,10007.13
20260320,13,MO2605,CASH,56,0,0.0,0.0,10007.67,HOLD,10007.67
20260306,14,MO2606,Long 7600-8200 (16.96),105,600,118.86,6.08,0.0,OPEN LONG,9481.0
20260309,14,MO2606,Long 7600-8200 (16.96),102,600,118.86,-1.31,0.0,HOLD,9453.87
20260310,14,MO2606,Long 7600-8200 (16.96),101,600,118.86,-4.91,0.0,HOLD,9674.36
20260311,14,MO2606,Long 7600-8200 (16.96),100,600,118.86,-17.69,0.0,HOLD,9508.14
20260312,14,MO2606,Long 7600-8200 (16.96),99,600,118.86,-24.26,0.0,HOLD,9409.77
20260313,14,MO2606,Long 7600-8200 (16.96),98,600,118.86,-0.0,0.0,HOLD,9511.53
20260316,14,MO2606,Long 7600-8200 (16.96),95,600,118.86,-22.27,0.0,HOLD,9416.55
20260317,14,MO2606,Long 7600-8200 (16.96),94,600,118.86,-6.8,0.0,HOLD,9765.94
20260318,14,MO2606,Long 7600-8200 (16.96),93,600,118.86,-19.52,0.0,HOLD,9552.24
20260319,14,MO2606,Long 7600-8200 (16.96),92,600,118.86,-14.03,0.0,HOLD,9945.73
20260320,14,MO2606,Long 7600-8200 (16.96),91,600,118.86,-12.89,0.0,HOLD,9799.86
20260306,15,MO2609,CASH,196,0,0.0,0.0,10000.0,HOLD,10000.0
20260309,15,MO2609,Long 7000-7600 (16.86),193,600,8.88,2.16,0.0,OPEN LONG,9435.13
20260310,15,MO2609,Long 7000-7600 (16.86),192,600,8.88,-17.66,0.0,HOLD,9435.13
20260311,15,MO2609,Long 7000-7600 (16.86),191,600,8.88,-13.76,0.0,HOLD,9273.27
20260312,15,MO2609,Long 7000-7600 (16.86),190,600,8.88,-18.02,0.0,HOLD,9229.43
20260313,15,MO2609,Long 7000-7600 (16.86),189,600,8.88,-7.26,0.0,HOLD,9387.92
20260316,15,MO2609,Long 7000-7600 (16.86),186,600,8.88,-14.13,0.0,HOLD,9202.46
20260317,15,MO2609,Long 7000-7600 (16.86),185,600,8.88,-13.04,0.0,HOLD,9276.64
20260318,15,MO2609,Long 7000-7600 (16.86),184,600,8.88,-16.79,0.0,HOLD,9205.83
20260319,15,MO2609,Long 7000-7600 (16.86),183,600,8.88,-16.58,0.0,HOLD,9054.08
20260320,15,MO2609,Long 7000-7600 (16.86),182,600,8.88,-6.25,0.0,HOLD,9573.39
